Gene	B cells	T cells CD4	T cells CD8	T cells follicular helper
ACTL6B	17.39768372	17.74337356	17.33876316	17.10863473
ACTL7A	27.62296861	33.44726013	28.15434204	25.97414162
ACTL7B	19.45349137	18.52047383	19.35925138	20.80647568
ACTL8	62.70995439	68.37473158	81.33593506	59.40036616
ACTL9	11.7710624	11.19774818	11.16129031	13.40868487
ACTN1	21.76622575	408.4399552	232.5773161	846.6479869
ACTN2	15.52601764	17.25636101	19.77622213	14.16603813
ACTN3	24.25472474	26.12723338	25.76962157	22.93029751
ACTN4	66.09979221	70.83269588	77.63481846	108.3979904
ACTR10	1320.271961	1341.754686	1107.729484	1249.353336
ACTR1A	206.3247193	246.4169912	284.8340213	263.990467
ACTR1B	292.4507854	401.0483235	323.3267329	453.7552024
ACTR2	5004.735931	2406.809132	2466.685926	1714.739071
ACTR3	1655.225204	1197.543124	854.2656922	837.3311086
ACTR3B	51.8414612	67.92238137	66.61591956	61.48571396
ACTR3C	78.49899887	98.22888107	73.2422441	181.7298362
ACTR5	119.1875889	116.5617302	106.9702837	188.4315641
ACTR6	515.1425696	545.1622289	535.8852921	472.3008372
ACTR8	144.7546142	95.14531712	111.8729326	81.83977561
ACTRT2	18.46275865	21.1760809	19.48820899	19.84019063
ACTRT3	19.71625764	15.12172915	18.17425515	15.70963383
ACVR1	191.9174095	393.2633864	203.18718	384.1521626
ACVR1B	35.62131194	40.86493208	34.52549495	45.71970285
ACVR1C	13.79027764	31.75505103	33.50132308	13.98002554
ACVR2A	52.84819461	108.3834963	36.40906004	95.4541147
ACVR2B	59.98186585	72.06920752	70.13296752	56.19965887
ACVR2B-AS1	14.76733637	13.8321261	15.89177847	12.72124249
ACVRL1	30.37288669	31.00642351	33.32754627	31.23552038
ACY3	46.97325607	42.06384696	45.95425728	41.57842337
ACYP1	441.9781328	221.0033454	182.6051841	334.422023
ACYP2	485.1697742	134.435648	126.452878	200.282214
AD000090.2	92.56021528	57.03147137	54.69038841	61.05429942
ADA	353.7812522	272.7063216	307.5122887	240.5741436
ADAD1	14.27244357	18.0579034	18.34821973	14.76648078
ADAD2	83.93122402	65.88793162	68.17138879	89.19309742
ADAL	49.60980132	39.74895867	45.67417767	52.64997615
ADAM10	222.714028	431.2505272	260.8470822	185.1391367
ADAM11	27.52116893	25.17458951	27.82239064	28.47083701
ADAM12	24.21599234	33.12664257	33.06562504	26.39502448
ADAM15	61.96448578	66.35110606	78.48925188	70.87602086
ADAM17	277.8926558	101.8140699	68.44179827	106.8963275
ADAM18	11.25744715	12.69251113	13.70384916	10.89456893
ADAM19	258.5838643	120.3956935	68.73407343	116.8103995
ADAM1A	66.90588903	45.55600613	22.23431406	33.97575722
ADAM2	9.815784555	10.39578709	12.74419744	9.412936947
ADAM20	22.33804771	23.03653763	27.63247511	24.32272269
ADAM21	16.21077136	18.00249825	14.98754946	13.12983058
ADAM22	13.54300095	14.06172184	16.50769244	12.77610831
ADAM23	13.61596834	15.22487092	15.54649387	12.50258466
ADAM28	477.4285041	33.54051694	45.52969358	19.05297804
ADAM29	11.09262698	13.9549717	17.55145649	9.458799604
ADAM30	9.363043397	10.05008329	9.824807496	9.532199933
ADAM32	9.472680084	9.266661187	11.45617712	8.270389828
ADAM33	48.46678828	39.21304378	48.78590852	41.74459731
ADAM3A	9.564331558	9.642268372	11.04562755	7.930379211
ADAM5	12.02112192	13.7772004	13.45570381	14.00761869
ADAM6	18.46141156	18.99689627	22.08747468	20.26309806
ADAM7	10.35819391	10.84640696	10.90298342	10.43236228
ADAM8	56.25143161	64.21125301	84.27363888	41.56890109
ADAM9	23.33087406	24.76183111	23.78656734	23.4954482
ADAMDEC1	20.89717414	35.72729815	21.07167961	11.14192836
ADAMTS1	27.81657165	29.03484136	33.03317851	26.63122997
ADAMTS10	35.67230959	50.97503004	46.06534701	56.1321632
ADAMTS12	18.63742459	22.26554278	20.31913753	19.2697137
ADAMTS13	39.97446344	39.73747622	46.13811349	47.19182923
ADAMTS14	27.31623578	29.84699966	33.54529057	22.51271315
ADAMTS15	17.9234817	16.64660925	17.88211869	16.16946149
ADAMTS16	27.60878825	21.19402399	26.99337697	22.46442458
ADAMTS17	13.49698256	20.68931932	19.57856887	26.19543967
ADAMTS18	15.17343102	17.45322795	18.91213271	16.05485732
ADAMTS19	9.271097772	9.340935101	10.09174693	8.768963556
ADAMTS2	19.48392507	22.33505984	24.52879881	24.32431063
ADAMTS20	11.106655	11.3177078	11.88329834	10.17409459
ADAMTS3	10.27050704	18.74297794	31.4039557	14.56728134
ADAMTS5	14.17888003	13.8115398	13.92132149	14.2218026
ADAMTS6	10.64797802	13.00028817	15.34274289	10.67015481
ADAMTS8	19.83055732	20.82562648	21.49303459	21.07692111
ADAMTS9	20.81593047	20.59817732	23.36347382	19.07588113
ADAMTS9-AS2	12.84235441	13.18251093	12.09766186	12.25910685
ADAMTSL1	14.75764477	14.57242357	15.21941239	14.08642089
ADAMTSL2	18.93080588	19.48150547	20.19316266	27.46214074
ADAMTSL3	31.96235831	30.73736645	29.45786084	27.95691038
ADAMTSL4	16.30052539	16.99372229	18.9224171	18.98764843
ADAMTSL5	32.32446422	34.84231949	37.9583426	27.66828945
ADAP1	70.02734096	75.31446563	156.5504283	82.35727013
ADAP2	113.8298606	40.23508986	43.36744545	34.61474466
ADAR	1632.546047	3653.609291	3933.547408	2335.79042
ADARB1	105.2822728	136.0584957	81.04715303	140.2080276
ADARB2	21.80984823	24.2530287	22.65622152	26.81117523
ADARB2-AS1	34.70001841	34.3674957	35.53359428	34.11827885
ADAT1	284.8532191	149.079448	239.7647772	183.4196059
ADAT2	41.90615435	68.90460547	93.38387622	68.90967795
ADAT3	50.27300746	48.7587183	57.40268901	79.592527
ADC	48.59068594	48.18472526	51.37586237	49.68159482
ADCK1	87.79922866	102.8108475	118.6072193	100.0438694
ADCK2	193.4809904	138.0226072	135.797635	134.856809
ADCK3	146.807956	156.2887902	144.3326839	167.36955
ADCK4	98.246224	124.9803229	139.5835618	128.8728425
ADCK5	37.09013797	53.34897342	41.23988412	62.94182141
ADCY1	19.34256593	19.52431503	22.38660401	18.66043208
ADCY10	13.65849337	12.89639708	13.21755755	13.81783944
ADCY10P1	51.29334142	54.36258895	45.96055058	39.85587735
ADCY2	17.06545639	20.56411428	20.29474463	17.05173355
ADCY3	72.57118904	89.58833821	141.988989	48.43381314
ADCY4	75.10712269	100.4244222	102.3254079	89.30985469
ADCY5	19.87786041	19.58175421	19.4522389	17.95286383
ADCY6	28.05473401	35.03770939	28.99939917	31.94295635
ADCY7	156.0917967	239.3363123	218.633293	230.1806749
ADCY8	12.51418631	14.22674968	14.25836893	13.8762647
ADCY9	39.90244242	42.765498	52.18739436	38.39675189
ADCYAP1	12.01225371	12.49785129	12.5684442	12.02031637
ADCYAP1R1	19.06134264	20.53254993	24.53786423	20.53732818
ADD1	385.4323025	535.619498	579.012853	371.082018
ADD2	24.39650706	25.1087658	24.97889213	23.16474453
ADD3	794.9080257	3082.186703	1528.407469	2265.321318
ADD3-AS1	15.73556737	14.95200861	16.45934992	14.30112038
ADGB	9.981386093	10.10265301	9.417194055	10.12845448
ADH1A	10.5167716	8.903516078	10.00443037	8.782022585
ADH1B	14.57469319	14.07715027	14.60497625	16.99757948
ADH1C	10.81395216	11.19879483	11.12786623	11.91088607
ADH4	9.724098412	9.314855489	10.62006334	8.855979009
ADH5	468.7331284	592.7524412	535.9740284	324.2262953
ADH6	13.20661851	13.94110131	13.73721463	13.44450819
ADH7	14.16123169	14.24188312	14.15618323	12.29330854
ADHFE1	125.0413857	238.5208455	204.1763585	272.664106
ADI1	948.3986347	1194.342259	369.7412704	1118.604747
ADIG	32.77337906	31.56493607	34.01546668	24.85264642
ADIPOQ	14.25407847	13.27368008	15.53221118	10.22147031
ADIPOR1	361.1762371	326.0130061	298.4461336	370.5291492
ADIPOR2	340.0001941	425.7921065	445.4138008	356.4447861
ADIRF	20.8485588	15.57438471	22.25261562	20.84532196
ADK	352.9560793	310.28201	245.8479142	213.7957575
ADM	43.83312549	48.95475956	58.7147483	40.24324533
ADM2	72.38074507	81.87814442	87.3826788	67.18485278
ADM5	45.50929681	38.7159299	33.44001195	33.105534
ADNP	576.2277053	531.337245	525.5880343	630.3010793
ADNP2	346.2119049	342.7012942	469.1478094	411.8143769
ADO	344.9864383	229.9210926	295.079059	164.3672686
ADORA1	28.82100603	28.15178831	36.18706607	30.16310847
ADORA2A-AS1	15.09620394	16.07392369	15.42808331	15.26915064
ADORA2B	19.13764772	25.93476301	23.87334209	57.44239644
ADORA3	19.10156274	18.33699755	19.98954253	15.4683227
ADPGK	270.0801708	241.9600156	219.6360593	202.7100877
ADPRH	89.38427146	42.63537027	45.68023995	29.8615381
ADPRHL1	30.87298169	29.15495133	33.40458057	31.87011566
ADPRHL2	392.0591318	409.2059719	332.9819565	461.4607828
ADPRM	125.1739678	151.1155726	95.86858674	124.8947585
ADRA1A	11.78912693	12.40654735	13.86236391	11.43830659
ADRA1B	12.3570401	12.03968144	11.85321197	12.38807389
ADRA1D	11.14888253	12.09807566	12.59356485	12.69481982
ADRA2A	16.95866948	14.6767136	21.04363881	31.29805177
ADRA2B	47.70070066	42.45942437	45.48892912	47.02597176
ADRA2C	39.74595353	42.97356743	42.63047645	41.46338362
ADRB1	11.11983249	12.15709596	14.68443879	10.60298448
ADRB2	78.60604659	45.44775959	91.62093995	37.55334914
ADRB3	22.68509152	24.49127619	25.7505836	22.11532781
ADRBK1	91.8571891	220.4518733	265.9100129	143.2710827
ADRBK2	232.3510986	66.24374322	68.14820219	44.10175759
ADRM1	282.3216915	294.2747955	338.5622152	494.7941145
ADSL	818.9078026	1533.832852	990.4975504	1234.806207
ADSS	432.923728	338.6689668	308.2077876	468.6944289
ADSSL1	19.29701662	46.17972739	39.98603702	64.31704544
ADTRP	24.56680447	430.5071499	156.9009911	289.3464324
AEBP1	89.14849033	77.8592686	86.34736364	48.52889309
AEBP2	39.52469462	32.47793548	34.87789938	41.52703609
AEN	237.5188492	234.3710097	157.1618639	229.9782936
AES	304.9125675	708.5217091	766.2349162	577.7501547
AF064858.7	23.67754347	31.11558502	33.19800094	24.68615427
AFAP1	7.369903254	12.32534008	12.10852516	14.78842813
AFAP1-AS1	14.34690357	17.06852794	16.91956349	13.01115048
AFAP1L1	21.13859812	21.4882336	22.42115922	19.30268323
AFAP1L2	26.35895412	25.83821751	32.37395074	24.27069446
AFF1	21.38440353	22.74033718	24.15455998	21.25602077
AFF2	46.78054029	16.85443607	17.0481093	19.5552791
AFF3	63.49867045	18.52030011	17.77705366	22.90392543
AFF4	47.19576725	33.25051832	33.42213797	42.25943925
AFG3L1P	90.85563377	89.81609604	80.90107728	114.6152939
